UMAP_1,UMAP_2,kmeans_cluster
12.36012,-1.8718069,4
2.1337526,-4.954319,2
0.62012523,-2.1031969,2
1.0877156,9.4939375,1
18.322117,6.764133,0
3.6430566,-5.843505,2
3.260131,-4.995261,2
4.907399,0.7123449,2
18.07976,3.1005428,0
3.7418408,-5.6087155,2
9.581494,7.7029247,5
8.7533655,-5.9429703,2
3.386567,-5.295893,2
6.681834,5.8305874,5
19.21746,4.6158056,0
6.692157,0.37907073,2
6.758244,0.50018364,2
-6.886795,4.6428676,1
12.48276,-1.7000588,4
7.9840956,-5.6532135,2
3.4653544,-5.8083224,2
7.935455,-5.821845,2
12.803414,-1.7269533,4
